Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
558_R1	(19.0, 1.0)	(20.0, 11.0)	(21.0, 122.0)	(22.0, 1046.0)	(23.0, 9592.0)	(24.0, 55476.0)	(25.0, 205521.0)	(26.0, 516662.0)	(27.0, 982565.0)	(28.0, 1579516.0)	(29.0, 2257868.0)	(30.0, 3076673.0)	(31.0, 4200862.0)	(32.0, 5909271.0)	(33.0, 8702565.0)	(34.0, 13630083.0)	(35.0, 22951139.0)	(36.0, 38991965.0)	(37.0, 25331948.0)	(38.0, 249954.0)	
558_R2	(19.0, 12.0)	(20.0, 544.0)	(21.0, 8184.0)	(22.0, 64066.0)	(23.0, 279996.0)	(24.0, 756392.0)	(25.0, 1425728.0)	(26.0, 2144734.0)	(27.0, 2886436.0)	(28.0, 3639969.0)	(29.0, 4402746.0)	(30.0, 5285448.0)	(31.0, 6402235.0)	(32.0, 7902002.0)	(33.0, 10026252.0)	(34.0, 13219891.0)	(35.0, 18673376.0)	(36.0, 31562219.0)	(37.0, 19916138.0)	(38.0, 56472.0)	
559_R1	(19.0, 2.0)	(20.0, 22.0)	(21.0, 227.0)	(22.0, 2122.0)	(23.0, 16818.0)	(24.0, 97008.0)	(25.0, 371801.0)	(26.0, 953261.0)	(27.0, 1829518.0)	(28.0, 2879310.0)	(29.0, 3945355.0)	(30.0, 5193644.0)	(31.0, 6968305.0)	(32.0, 9749892.0)	(33.0, 14578305.0)	(34.0, 24056057.0)	(35.0, 44761064.0)	(36.0, 58296103.0)	(37.0, 8987608.0)	(38.0, 68816.0)	
559_R2	(18.0, 1.0)	(19.0, 22.0)	(20.0, 505.0)	(21.0, 5588.0)	(22.0, 39163.0)	(23.0, 168200.0)	(24.0, 465676.0)	(25.0, 922475.0)	(26.0, 1487001.0)	(27.0, 2183835.0)	(28.0, 2981858.0)	(29.0, 3875910.0)	(30.0, 4998095.0)	(31.0, 6571268.0)	(32.0, 8906972.0)	(33.0, 12661570.0)	(34.0, 19453228.0)	(35.0, 34912165.0)	(36.0, 72575640.0)	(37.0, 10533462.0)	(38.0, 12604.0)
560_R1	(20.0, 11.0)	(21.0, 179.0)	(22.0, 1765.0)	(23.0, 15424.0)	(24.0, 85016.0)	(25.0, 301393.0)	(26.0, 724847.0)	(27.0, 1355478.0)	(28.0, 2152087.0)	(29.0, 3009505.0)	(30.0, 3986439.0)	(31.0, 5320399.0)	(32.0, 7336338.0)	(33.0, 10652746.0)	(34.0, 16783122.0)	(35.0, 30380848.0)	(36.0, 60344345.0)	(37.0, 33387887.0)	(38.0, 376998.0)		
560_R2	(18.0, 1.0)	(19.0, 20.0)	(20.0, 625.0)	(21.0, 9056.0)	(22.0, 68387.0)	(23.0, 298589.0)	(24.0, 805576.0)	(25.0, 1518860.0)	(26.0, 2306420.0)	(27.0, 3164512.0)	(28.0, 4063219.0)	(29.0, 4991013.0)	(30.0, 6073600.0)	(31.0, 7492170.0)	(32.0, 9450857.0)	(33.0, 12367032.0)	(34.0, 17139198.0)	(35.0, 26592593.0)	(36.0, 54906552.0)	(37.0, 24928767.0)	(38.0, 37780.0)
561_R1	(20.0, 14.0)	(21.0, 138.0)	(22.0, 1253.0)	(23.0, 9404.0)	(24.0, 53703.0)	(25.0, 200745.0)	(26.0, 516633.0)	(27.0, 1036268.0)	(28.0, 1726884.0)	(29.0, 2424966.0)	(30.0, 3174788.0)	(31.0, 4187194.0)	(32.0, 5739975.0)	(33.0, 8381364.0)	(34.0, 13599321.0)	(35.0, 27196814.0)	(36.0, 62978662.0)	(37.0, 23151205.0)	(38.0, 143788.0)		
561_R2	(19.0, 22.0)	(20.0, 314.0)	(21.0, 3385.0)	(22.0, 23971.0)	(23.0, 105095.0)	(24.0, 295645.0)	(25.0, 597687.0)	(26.0, 995134.0)	(27.0, 1521046.0)	(28.0, 2140207.0)	(29.0, 2789050.0)	(30.0, 3560773.0)	(31.0, 4624719.0)	(32.0, 6209090.0)	(33.0, 8752401.0)	(34.0, 13366072.0)	(35.0, 23933184.0)	(36.0, 61609669.0)	(37.0, 23972582.0)	(38.0, 23073.0)	
562_R1	(19.0, 1.0)	(20.0, 29.0)	(21.0, 191.0)	(22.0, 1652.0)	(23.0, 12978.0)	(24.0, 73132.0)	(25.0, 263477.0)	(26.0, 640547.0)	(27.0, 1197603.0)	(28.0, 1889659.0)	(29.0, 2649354.0)	(30.0, 3551919.0)	(31.0, 4832256.0)	(32.0, 6828600.0)	(33.0, 10206924.0)	(34.0, 16527798.0)	(35.0, 30332843.0)	(36.0, 50447971.0)	(37.0, 20517465.0)	(38.0, 271015.0)	
562_R2	(18.0, 1.0)	(19.0, 52.0)	(20.0, 1004.0)	(21.0, 12091.0)	(22.0, 84141.0)	(23.0, 352661.0)	(24.0, 919423.0)	(25.0, 1689618.0)	(26.0, 2494657.0)	(27.0, 3324381.0)	(28.0, 4143109.0)	(29.0, 4969237.0)	(30.0, 5926209.0)	(31.0, 7187198.0)	(32.0, 8937273.0)	(33.0, 11531613.0)	(34.0, 15757361.0)	(35.0, 23978299.0)	(36.0, 43182958.0)	(37.0, 15725709.0)	(38.0, 28419.0)
563_R1	(19.0, 1.0)	(20.0, 12.0)	(21.0, 126.0)	(22.0, 1172.0)	(23.0, 9931.0)	(24.0, 56105.0)	(25.0, 201284.0)	(26.0, 483102.0)	(27.0, 887322.0)	(28.0, 1378719.0)	(29.0, 1935813.0)	(30.0, 2626196.0)	(31.0, 3596926.0)	(32.0, 5103961.0)	(33.0, 7631751.0)	(34.0, 12188193.0)	(35.0, 21177249.0)	(36.0, 32619682.0)	(37.0, 15876144.0)	(38.0, 206990.0)	
563_R2	(19.0, 34.0)	(20.0, 814.0)	(21.0, 10292.0)	(22.0, 72647.0)	(23.0, 306839.0)	(24.0, 798764.0)	(25.0, 1444530.0)	(26.0, 2092848.0)	(27.0, 2712908.0)	(28.0, 3322153.0)	(29.0, 3940195.0)	(30.0, 4661977.0)	(31.0, 5588062.0)	(32.0, 6840123.0)	(33.0, 8634103.0)	(34.0, 11413513.0)	(35.0, 16294223.0)	(36.0, 26529867.0)	(37.0, 11297115.0)	(38.0, 19672.0)	
564_R1	(18.0, 1.0)	(19.0, 2.0)	(20.0, 40.0)	(21.0, 341.0)	(22.0, 2513.0)	(23.0, 17713.0)	(24.0, 96882.0)	(25.0, 341413.0)	(26.0, 804566.0)	(27.0, 1432845.0)	(28.0, 2183684.0)	(29.0, 3033837.0)	(30.0, 4089735.0)	(31.0, 5607093.0)	(32.0, 7997111.0)	(33.0, 11984433.0)	(34.0, 18919323.0)	(35.0, 31087204.0)	(36.0, 45556293.0)	(37.0, 18898186.0)	(38.0, 216894.0)
564_R2	(18.0, 1.0)	(19.0, 103.0)	(20.0, 1775.0)	(21.0, 19247.0)	(22.0, 132257.0)	(23.0, 535901.0)	(24.0, 1364172.0)	(25.0, 2427922.0)	(26.0, 3440912.0)	(27.0, 4365532.0)	(28.0, 5231215.0)	(29.0, 6092972.0)	(30.0, 7079291.0)	(31.0, 8330966.0)	(32.0, 10016509.0)	(33.0, 12389253.0)	(34.0, 16019317.0)	(35.0, 22286473.0)	(36.0, 36966438.0)	(37.0, 15540005.0)	(38.0, 29848.0)
