Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
559_R1	(1.0, 75.21894547822505)	(2.0, 13.399580731044683)	(3.0, 3.17250996830494)	(4.0, 1.1230727285898432)	(5.0, 0.6876208964492161)	(6.0, 0.47386869223763173)	(7.0, 0.3579989372638377)	(8.0, 0.2860775442000706)	(9.0, 0.19510633071533567)	('>10', 2.193401215041742)	('>50', 0.8554151254175537)	('>100', 1.9254970808526661)	('>500', 0.10530933529806955)	('>1k', 0.0055959363593125)	('>5k', 0.0)	('>10k+', 0.0)
559_R2	(1.0, 74.48052982870188)	(2.0, 13.80816273133484)	(3.0, 3.3011643403079085)	(4.0, 1.1869468347157885)	(5.0, 0.6605952084049916)	(6.0, 0.48083731012419006)	(7.0, 0.37397605564599556)	(8.0, 0.2800588666460785)	(9.0, 0.25312259076812726)	('>10', 2.184502201108105)	('>50', 0.8675658548315365)	('>100', 2.019781332556448)	('>500', 0.09709097170199883)	('>1k', 0.005665873152061956)	('>5k', 0.0)	('>10k+', 0.0)
560_R1	(1.0, 91.29985682574822)	(2.0, 5.752121458127268)	(3.0, 1.0885214152825144)	(4.0, 0.4603512263387819)	(5.0, 0.2612734974329626)	(6.0, 0.18224247570216964)	(7.0, 0.14122796021366693)	(8.0, 0.09217491481246065)	(9.0, 0.06814863512426696)	('>10', 0.5744098502908791)	('>50', 0.0702836327535297)	('>100', 0.00938810817335478)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
560_R2	(1.0, 91.39571821694122)	(2.0, 5.725108501778875)	(3.0, 1.0615071340305255)	(4.0, 0.3892965541819945)	(5.0, 0.27428681679395367)	(6.0, 0.19926492014607863)	(7.0, 0.12520197390923876)	(8.0, 0.10720334059512918)	(9.0, 0.07716824664591393)	('>10', 0.562362500183841)	('>50', 0.07029310524128675)	('>100', 0.012588689551939437)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
561_R1	(1.0, 84.64917085293288)	(2.0, 8.576542182704886)	(3.0, 2.1013237142918975)	(4.0, 0.8173906656693357)	(5.0, 0.541434063556537)	(6.0, 0.4034540077945721)	(7.0, 0.26538448182315655)	(8.0, 0.2374207341020287)	(9.0, 0.15532545255806263)	('>10', 1.3203809586548698)	('>50', 0.5074051711463307)	('>100', 0.4224255243994151)	('>500', 0.002342190366105173)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
561_R2	(1.0, 84.28134808913342)	(2.0, 8.944479972635683)	(3.0, 1.9753045527479733)	(4.0, 0.8814214609379714)	(5.0, 0.5264221910678828)	(6.0, 0.3954451531443742)	(7.0, 0.30043540961214965)	(8.0, 0.2444333027098255)	(9.0, 0.19140116994367226)	('>10', 1.329193568406787)	('>50', 0.5167493711656453)	('>100', 0.4096234592634939)	('>500', 0.0037422992311293576)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
562_R1	(1.0, 92.13916708490638)	(2.0, 4.635647813450057)	(3.0, 0.8594064023509459)	(4.0, 0.4113314840221182)	(5.0, 0.24928386596807925)	(6.0, 0.1542269330922304)	(7.0, 0.13824939816589293)	(8.0, 0.0942012491777922)	(9.0, 0.06215343377775923)	('>10', 0.9752400691795112)	('>50', 0.21576993248458193)	('>100', 0.06406038988529617)	('>500', 0.0012619435393649199)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
562_R2	(1.0, 92.20306265492123)	(2.0, 4.531580460473937)	(3.0, 0.8593965459238456)	(4.0, 0.41633081935271726)	(5.0, 0.24827997093900353)	(6.0, 0.1612354891367311)	(7.0, 0.14025150859084498)	(8.0, 0.10321943001978648)	(9.0, 0.08019714890141866)	('>10', 0.9208544719759267)	('>50', 0.26077764887300653)	('>100', 0.0736142484527525)	('>500', 0.0011996024388005704)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
563_R1	(1.0, 93.69252193563113)	(2.0, 4.249622770988884)	(3.0, 0.7666546582476133)	(4.0, 0.3374473442474642)	(5.0, 0.18833846872282642)	(6.0, 0.12127508731296474)	(7.0, 0.0882417079248596)	(8.0, 0.06520930401940975)	(9.0, 0.03512927570201869)	('>10', 0.4325263419994314)	('>50', 0.018561346990090925)	('>100', 0.003150520589804076)	('>500', 0.00132123762349685)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
563_R2	(1.0, 93.71843921498075)	(2.0, 4.239570482270028)	(3.0, 0.7836603020231484)	(4.0, 0.3114093296407151)	(5.0, 0.18032205531370013)	(6.0, 0.11626243477253943)	(7.0, 0.07119423399742157)	(8.0, 0.0632021770997788)	(9.0, 0.05018413896787538)	('>10', 0.43159415022571096)	('>50', 0.02165447265248582)	('>100', 0.009914867613631763)	('>500', 0.002592140442198609)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
564_R1	(1.0, 93.31461743593164)	(2.0, 4.848210066383708)	(3.0, 0.8064662595737259)	(4.0, 0.25823410689005893)	(5.0, 0.15118669161433343)	(6.0, 0.08913932216725759)	(7.0, 0.0821553521938833)	(8.0, 0.05512230527773074)	(9.0, 0.05213275588243171)	('>10', 0.31983506065492273)	('>50', 0.014285889234820858)	('>100', 0.004257217353099436)	('>500', 0.0)	('>1k', 0.004357536842397059)	('>5k', 0.0)	('>10k+', 0.0)
564_R2	(1.0, 93.45354822181439)	(2.0, 4.784242722263197)	(3.0, 0.7674515681119263)	(4.0, 0.2452248470923448)	(5.0, 0.15218951552072096)	(6.0, 0.09514971564147633)	(7.0, 0.0701333617377733)	(8.0, 0.05913183274563094)	(9.0, 0.04411280768545397)	('>10', 0.3106951048667278)	('>50', 0.010246341559027324)	('>100', 0.0031792039527691845)	('>500', 0.0)	('>1k', 0.004694757008604449)	('>5k', 0.0)	('>10k+', 0.0)
