Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
557_R1	(50, 1108.0)	(52, 1031.0)	(54, 987.0)	(56, 1009.0)	(58, 1049.0)	(60, 1031.0)	(62, 1155.0)	(64, 1265.0)	(66, 1375.0)	(68, 1612.0)	(70, 1906.0)	(72, 2206.0)	(74, 2472.0)	(76, 2879.0)	(78, 3327.0)	(80, 3835.0)	(82, 4429.0)	(84, 4955.0)	(86, 5649.0)	(88, 6804.0)	(90, 7816.0)	(92, 8841.0)	(94, 9886.0)	(96, 11037.0)	(98, 12551.0)	(100, 14608.0)	(102, 16476.0)	(104, 17783.0)	(106, 20069.0)	(108, 22807.0)	(110, 25576.0)	(112, 28381.0)	(114, 31584.0)	(116, 35655.0)	(118, 40901.0)	(120, 45045.0)	(122, 52956.0)	(124, 69869.0)	(126, 159995.0)	(128, 118897.0)	(130, 181351.0)	(132, 74819.0)	(134, 79846.0)	(136, 120210708.0)
557_R2	(50, 934.0)	(52, 820.0)	(54, 833.0)	(56, 1029.0)	(58, 1071.0)	(60, 1048.0)	(62, 1180.0)	(64, 1293.0)	(66, 1401.0)	(68, 1637.0)	(70, 1932.0)	(72, 2259.0)	(74, 2512.0)	(76, 2898.0)	(78, 3359.0)	(80, 3890.0)	(82, 4479.0)	(84, 4999.0)	(86, 5719.0)	(88, 6885.0)	(90, 7930.0)	(92, 8976.0)	(94, 9965.0)	(96, 11143.0)	(98, 12718.0)	(100, 14790.0)	(102, 16619.0)	(104, 17930.0)	(106, 20329.0)	(108, 23192.0)	(110, 26097.0)	(112, 28726.0)	(114, 32733.0)	(116, 37234.0)	(118, 42677.0)	(120, 46400.0)	(122, 62594.0)	(124, 96734.0)	(126, 231547.0)	(128, 74696.0)	(130, 67785.0)	(132, 74700.0)	(134, 79686.0)	(136, 120252162.0)
558_R1	(50, 1075.0)	(52, 1098.0)	(54, 967.0)	(56, 1042.0)	(58, 919.0)	(60, 1038.0)	(62, 1025.0)	(64, 1153.0)	(66, 1207.0)	(68, 1474.0)	(70, 1584.0)	(72, 1728.0)	(74, 2090.0)	(76, 2367.0)	(78, 2809.0)	(80, 3301.0)	(82, 3708.0)	(84, 4235.0)	(86, 4961.0)	(88, 5836.0)	(90, 6692.0)	(92, 7527.0)	(94, 8553.0)	(96, 9830.0)	(98, 11363.0)	(100, 13273.0)	(102, 15193.0)	(104, 17071.0)	(106, 19565.0)	(108, 22427.0)	(110, 25821.0)	(112, 29188.0)	(114, 33051.0)	(116, 37898.0)	(118, 43782.0)	(120, 48864.0)	(122, 57710.0)	(124, 76758.0)	(126, 174497.0)	(128, 131205.0)	(130, 197153.0)	(132, 88820.0)	(134, 97054.0)	(136, 126807881.0)
558_R2	(50, 891.0)	(52, 891.0)	(54, 842.0)	(56, 1063.0)	(58, 932.0)	(60, 1053.0)	(62, 1050.0)	(64, 1175.0)	(66, 1230.0)	(68, 1490.0)	(70, 1603.0)	(72, 1739.0)	(74, 2127.0)	(76, 2396.0)	(78, 2861.0)	(80, 3357.0)	(82, 3741.0)	(84, 4303.0)	(86, 5011.0)	(88, 5891.0)	(90, 6787.0)	(92, 7651.0)	(94, 8655.0)	(96, 9906.0)	(98, 11494.0)	(100, 13366.0)	(102, 15342.0)	(104, 17155.0)	(106, 19788.0)	(108, 22828.0)	(110, 26223.0)	(112, 29489.0)	(114, 34051.0)	(116, 39282.0)	(118, 45269.0)	(120, 50113.0)	(122, 65456.0)	(124, 97755.0)	(126, 220611.0)	(128, 82467.0)	(130, 79739.0)	(132, 88712.0)	(134, 96918.0)	(136, 126892090.0)
559_R1	(50, 4266.0)	(52, 3753.0)	(54, 3562.0)	(56, 3274.0)	(58, 3136.0)	(60, 3204.0)	(62, 3290.0)	(64, 3438.0)	(66, 3796.0)	(68, 4223.0)	(70, 4685.0)	(72, 5164.0)	(74, 5684.0)	(76, 6464.0)	(78, 7446.0)	(80, 8574.0)	(82, 9731.0)	(84, 10810.0)	(86, 12147.0)	(88, 14036.0)	(90, 16186.0)	(92, 18316.0)	(94, 20263.0)	(96, 22603.0)	(98, 26212.0)	(100, 29535.0)	(102, 33664.0)	(104, 37534.0)	(106, 42695.0)	(108, 48381.0)	(110, 55686.0)	(112, 62522.0)	(114, 73747.0)	(116, 87971.0)	(118, 102746.0)	(120, 114219.0)	(122, 156271.0)	(124, 245939.0)	(126, 633133.0)	(128, 259306.0)	(130, 362366.0)	(132, 182041.0)	(134, 198315.0)	(136, 179289166.0)
559_R2	(50, 4277.0)	(52, 3744.0)	(54, 3545.0)	(56, 3276.0)	(58, 3148.0)	(60, 3239.0)	(62, 3291.0)	(64, 3469.0)	(66, 3822.0)	(68, 4262.0)	(70, 4733.0)	(72, 5218.0)	(74, 5736.0)	(76, 6552.0)	(78, 7472.0)	(80, 8587.0)	(82, 9763.0)	(84, 10935.0)	(86, 12230.0)	(88, 14141.0)	(90, 16304.0)	(92, 18489.0)	(94, 20406.0)	(96, 22737.0)	(98, 26572.0)	(100, 29888.0)	(102, 34139.0)	(104, 37927.0)	(106, 43516.0)	(108, 49520.0)	(110, 56544.0)	(112, 63439.0)	(114, 75668.0)	(116, 90986.0)	(118, 105786.0)	(120, 117366.0)	(122, 166737.0)	(124, 269090.0)	(126, 687099.0)	(128, 263925.0)	(130, 354759.0)	(132, 181637.0)	(134, 197854.0)	(136, 179187672.0)
560_R1	(50, 1656.0)	(52, 1610.0)	(54, 1585.0)	(56, 1754.0)	(58, 1827.0)	(60, 2039.0)	(62, 2235.0)	(64, 2405.0)	(66, 2900.0)	(68, 3377.0)	(70, 3962.0)	(72, 4649.0)	(74, 5161.0)	(76, 6199.0)	(78, 7132.0)	(80, 8473.0)	(82, 9910.0)	(84, 11145.0)	(86, 13163.0)	(88, 15802.0)	(90, 18211.0)	(92, 20645.0)	(94, 23288.0)	(96, 26477.0)	(98, 30982.0)	(100, 35819.0)	(102, 40342.0)	(104, 45249.0)	(106, 51321.0)	(108, 59330.0)	(110, 67787.0)	(112, 77782.0)	(114, 89178.0)	(116, 103280.0)	(118, 117591.0)	(120, 131715.0)	(122, 154002.0)	(124, 197226.0)	(126, 380260.0)	(128, 276638.0)	(130, 394124.0)	(132, 230994.0)	(134, 250954.0)	(136, 172511351.0)
560_R2	(50, 1666.0)	(52, 1606.0)	(54, 1598.0)	(56, 1790.0)	(58, 1866.0)	(60, 2072.0)	(62, 2263.0)	(64, 2444.0)	(66, 2957.0)	(68, 3419.0)	(70, 4034.0)	(72, 4720.0)	(74, 5234.0)	(76, 6274.0)	(78, 7206.0)	(80, 8552.0)	(82, 10027.0)	(84, 11253.0)	(86, 13317.0)	(88, 15976.0)	(90, 18387.0)	(92, 20839.0)	(94, 23478.0)	(96, 26628.0)	(98, 31266.0)	(100, 36149.0)	(102, 40675.0)	(104, 45513.0)	(106, 51961.0)	(108, 60067.0)	(110, 68606.0)	(112, 78490.0)	(114, 91041.0)	(116, 105850.0)	(118, 120703.0)	(120, 134089.0)	(122, 166668.0)	(124, 230049.0)	(126, 465446.0)	(128, 282733.0)	(130, 386851.0)	(132, 230683.0)	(134, 250527.0)	(136, 172366557.0)
561_R1	(50, 1151.0)	(52, 1195.0)	(54, 1178.0)	(56, 1266.0)	(58, 1445.0)	(60, 1601.0)	(62, 1887.0)	(64, 2102.0)	(66, 2451.0)	(68, 3011.0)	(70, 3632.0)	(72, 4225.0)	(74, 4864.0)	(76, 5975.0)	(78, 7403.0)	(80, 8516.0)	(82, 10443.0)	(84, 11879.0)	(86, 13838.0)	(88, 16561.0)	(90, 19413.0)	(92, 22780.0)	(94, 26792.0)	(96, 31650.0)	(98, 36996.0)	(100, 43117.0)	(102, 50457.0)	(104, 58017.0)	(106, 66768.0)	(108, 77647.0)	(110, 89413.0)	(112, 103010.0)	(114, 119728.0)	(116, 140258.0)	(118, 163467.0)	(120, 183659.0)	(122, 216723.0)	(124, 272170.0)	(126, 474487.0)	(128, 356935.0)	(130, 482645.0)	(132, 331174.0)	(134, 360374.0)	(136, 150379307.0)
561_R2	(50, 1150.0)	(52, 1225.0)	(54, 1175.0)	(56, 1285.0)	(58, 1460.0)	(60, 1643.0)	(62, 1929.0)	(64, 2122.0)	(66, 2492.0)	(68, 3070.0)	(70, 3694.0)	(72, 4278.0)	(74, 4957.0)	(76, 6041.0)	(78, 7519.0)	(80, 8610.0)	(82, 10542.0)	(84, 12014.0)	(86, 13973.0)	(88, 16715.0)	(90, 19626.0)	(92, 22995.0)	(94, 27054.0)	(96, 31795.0)	(98, 37234.0)	(100, 43386.0)	(102, 50825.0)	(104, 58328.0)	(106, 67311.0)	(108, 78427.0)	(110, 90186.0)	(112, 103470.0)	(114, 121295.0)	(116, 142428.0)	(118, 165594.0)	(120, 185690.0)	(122, 224447.0)	(124, 288918.0)	(126, 510618.0)	(128, 359801.0)	(130, 478600.0)	(132, 330609.0)	(134, 359738.0)	(136, 150307341.0)
